crop,issue_type,issue_id,symptoms,first_action,organic_option
orange,pest,thrips,Typical thrips signs on orange,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
orange,disease,leaf_spot,Typical leaf_spot signs on orange,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
orange,disease,rust,Typical rust signs on orange,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
orange,disease,blast,Typical blast signs on orange,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
papaya,pest,aphids,Typical aphids signs on papaya,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
papaya,pest,whitefly,Typical whitefly signs on papaya,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
papaya,pest,bollworm,Typical bollworm signs on papaya,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
papaya,pest,thrips,Typical thrips signs on papaya,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
papaya,disease,leaf_spot,Typical leaf_spot signs on papaya,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
papaya,disease,rust,Typical rust signs on papaya,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
papaya,disease,blast,Typical blast signs on papaya,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
brinjal,pest,aphids,Typical aphids signs on brinjal,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
brinjal,pest,whitefly,Typical whitefly signs on brinjal,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
brinjal,pest,bollworm,Typical bollworm signs on brinjal,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
brinjal,pest,thrips,Typical thrips signs on brinjal,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
brinjal,disease,leaf_spot,Typical leaf_spot signs on brinjal,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
brinjal,disease,rust,Typical rust signs on brinjal,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
brinjal,disease,blast,Typical blast signs on brinjal,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
brinjal,pest,aphids,Typical aphids signs on brinjal,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
brinjal,pest,whitefly,Typical whitefly signs on brinjal,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
brinjal,pest,bollworm,Typical bollworm signs on brinjal,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
brinjal,pest,thrips,Typical thrips signs on brinjal,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
brinjal,disease,leaf_spot,Typical leaf_spot signs on brinjal,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
brinjal,disease,rust,Typical rust signs on brinjal,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
brinjal,disease,blast,Typical blast signs on brinjal,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
cabbage,pest,aphids,Typical aphids signs on cabbage,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
cabbage,pest,whitefly,Typical whitefly signs on cabbage,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
cabbage,pest,bollworm,Typical bollworm signs on cabbage,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
cabbage,pest,thrips,Typical thrips signs on cabbage,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
cabbage,disease,leaf_spot,Typical leaf_spot signs on cabbage,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
cabbage,disease,rust,Typical rust signs on cabbage,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
cabbage,disease,blast,Typical blast signs on cabbage,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
cauliflower,pest,aphids,Typical aphids signs on cauliflower,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
cauliflower,pest,whitefly,Typical whitefly signs on cauliflower,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
cauliflower,pest,bollworm,Typical bollworm signs on cauliflower,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
cauliflower,pest,thrips,Typical thrips signs on cauliflower,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
cauliflower,disease,leaf_spot,Typical leaf_spot signs on cauliflower,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
cauliflower,disease,rust,Typical rust signs on cauliflower,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
cauliflower,disease,blast,Typical blast signs on cauliflower,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
okra,pest,aphids,Typical aphids signs on okra,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
okra,pest,whitefly,Typical whitefly signs on okra,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
okra,pest,bollworm,Typical bollworm signs on okra,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
okra,pest,thrips,Typical thrips signs on okra,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
okra,disease,leaf_spot,Typical leaf_spot signs on okra,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
okra,disease,rust,Typical rust signs on okra,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
okra,disease,blast,Typical blast signs on okra,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
